               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1113,            0.029227,                   0,           0.0062626,            0.043478,           0.0047747,          0.00058418,            0.075232,             0.02339,                   0,              0.0024,              0.0024,              0.0784
                   1,            0.089498,            0.024034,                   0,           0.0026667,                 0.8,            0.028663,           0.0057737,            0.067103,            0.016685,                   0,           0.0048515,           0.0048515,            0.055851
                   2,             0.08548,            0.020638,                   0,           0.0025333,                0.76,            0.030439,           0.0046445,            0.073609,            0.011868,                   0,           0.0072535,           0.0072535,            0.033253
                   3,            0.082974,            0.017552,                   0,              0.0028,                0.84,            0.055839,           0.0096717,            0.066661,            0.010251,                   0,            0.009606,            0.009606,            0.010606
                   4,             0.07817,            0.016147,                   0,           0.0030667,                0.92,             0.15618,            0.036009,            0.060194,             0.01018,                   0,            0.009604,            0.009604,            0.009604
                   5,            0.069833,            0.018981,                   0,            0.076554,                0.72,             0.38174,             0.15051,            0.053171,           0.0092889,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.068944,            0.016144,                   0,             0.54427,             0.71668,             0.64072,             0.31354,            0.044838,           0.0092639,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.056799,            0.017084,                   0,             0.55019,                0.48,             0.43961,             0.07869,            0.047991,           0.0084782,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.053083,            0.018717,                   0,             0.75633,             0.62126,             0.67093,             0.17688,            0.046331,            0.007779,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.056589,            0.015728,                   0,             0.94951,             0.75261,             0.83496,             0.31307,            0.050801,           0.0066752,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.05794,            0.015188,                   0,             0.95178,              0.7899,             0.88265,              0.5156,             0.03481,           0.0076386,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.051224,            0.014675,                   0,             0.83549,             0.81297,             0.84596,             0.36747,            0.037031,           0.0075237,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.045827,            0.013854,                   0,             0.96258,                 0.8,             0.90098,              0.4258,            0.033055,           0.0073004,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.042468,            0.014785,                   0,              0.9843,                 0.8,             0.89665,             0.59437,            0.029319,           0.0071429,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.039779,            0.013517,                   0,             0.96559,                 0.8,             0.90226,             0.26224,            0.037643,           0.0061172,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.042393,            0.012645,                   0,             0.95697,             0.88995,             0.94584,             0.55728,            0.027007,           0.0058738,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.039396,            0.012339,                   0,             0.95574,             0.86423,             0.94339,             0.44555,             0.03386,           0.0052014,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.044381,            0.011076,                   0,             0.98812,                0.88,             0.94395,               0.421,            0.032954,           0.0053295,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.039822,            0.011527,                   0,             0.89844,                 0.8,                0.91,              0.3379,            0.035428,           0.0048763,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.041325,            0.011024,                   0,             0.99356,                0.88,             0.96574,             0.41612,            0.038226,           0.0046781,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.039757,            0.011142,                   0,                   1,              0.9097,             0.97278,             0.51531,            0.027041,           0.0046207,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.037413,            0.010666,                   0,             0.88458,             0.91972,             0.96162,             0.52392,             0.02694,           0.0045733,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.035432,             0.00989,                   0,             0.91945,             0.91335,             0.95727,             0.46698,            0.034619,           0.0044913,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.038088,            0.010155,                   0,             0.92161,                0.96,              0.9797,             0.63221,            0.026064,           0.0047785,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.034963,            0.010501,                   0,             0.97996,                0.96,             0.98357,             0.53537,            0.029078,           0.0046039,                   0,            0.007723,            0.007723,            0.007723
